"","views","comments","duration","languages","published_year","published_month","general_opinion","speaker_talks","speaker_pop","event","location","tags"
"30",14689301,970,1276,43,2006,9,"positive",4,"popular","TED","Other","['TED Brain Trust', 'brain', 'choice', 'culture', 'evolution', 'happiness', 'psychology', 'science']"
"31",10000702,991,1177,45,2006,9,"positive",5,"very_popular","TEDGlobal","Other","['business', 'choice', 'culture', 'decision-making', 'economics', 'happiness', 'personal growth', 'potential', 'psychology']"
"32",1030267,213,1129,26,2006,10,"positive",1,"not_popular","TED","Other","['cancer', 'disease', 'health', 'science', 'technology', 'wunderkind']"
"33",3277740,612,1365,29,2006,10,"neutral",1,"not_popular","TEDGlobal","Other","['aging', 'biotech', 'disease', 'engineering', 'future', 'health care', 'science', 'technology']"
"34",503517,74,952,21,2006,10,"neutral",1,"not_popular","TEDGlobal","Other","['alternative energy', 'business', 'communication', 'culture', 'global development', 'global issues', 'invention', 'investment', 'microfinance', 'poverty', 'technology', 'telecom', 'transportation']"
"35",705389,58,773,26,2006,10,"positive",6,"very_popular","TEDGlobal","Other","['Africa', 'TED Brain Trust', 'business', 'culture', 'entrepreneur', 'global development', 'investment', 'microfinance', 'philanthropy', 'poverty']"
"36",580891,43,1080,21,2006,10,"neutral",1,"not_popular","TEDGlobal","Other","['business', 'culture', 'global issues', 'investment', 'media', 'philanthropy']"
"37",809226,67,1125,24,2006,10,"neutral",1,"not_popular","TEDGlobal","Other","['business', 'corruption', 'culture', 'economics', 'entrepreneur', 'global development', 'global issues', 'investment', 'military', 'policy', 'politics', 'poverty']"
"38",2028451,186,1177,28,2006,10,"neutral",1,"not_popular","TED","Other","['NASA', 'aircraft', 'business', 'design', 'engineering', 'entrepreneur', 'flight', 'industrial design', 'invention', 'rocket science']"
"39",745231,57,1083,26,2006,10,"positive",4,"popular","TED","Other","['climate change', 'culture', 'exploration', 'global issues', 'personal growth', 'potential', 'sports', 'technology', 'travel']"
"40",718649,112,1672,24,2006,10,"positive",3,"popular","TED","Other","['AIDS', 'Africa', 'activism', 'entertainment', 'global issues', 'philanthropy', 'poverty', 'social change']"
"41",975107,58,2065,22,2006,10,"positive",3,"popular","TED","Other","['TED Prize', 'art', 'cities', 'culture', 'design', 'environment', 'photography', 'pollution', 'social change']"
"42",382996,33,1609,20,2006,10,"neutral",1,"not_popular","TED","Other","['TED Prize', 'business', 'disease', 'health care', 'invention', 'medicine', 'science', 'technology']"
"43",1053758,105,1280,20,2006,11,"neutral",1,"not_popular","TEDGlobal","Other","['culture', 'genetics', 'science', 'statistics', 'technology']"
"44",5364639,494,805,41,2006,11,"positive",3,"popular","TED","Other","['culture', 'entertainment', 'faith', 'illusion', 'religion', 'science']"
"45",2434344,233,1376,22,2006,11,"positive",4,"popular","TED","Other","['TED Brain Trust', 'biotech', 'business', 'culture', 'future', 'invention', 'robots', 'science', 'technology']"
"46",1536873,149,1200,26,2006,11,"neutral",4,"popular","TED","Other","['choice', 'culture', 'evolution', 'future', 'history', 'philosophy', 'science', 'technology']"
"47",904215,52,848,24,2006,12,"neutral",3,"popular","TED","Other","['TED Brain Trust', 'activism', 'art', 'collaboration', 'culture', 'film', 'global issues', 'music', 'social change', 'storytelling']"
"48",10841210,578,210,66,2006,12,"positive",3,"popular","TED","Other","['business', 'culture', 'entertainment', 'happiness', 'psychology', 'success', 'work']"
"49",1813665,95,247,34,2006,12,"positive",7,"very_popular","Other","Other","['culture', 'entertainment', 'love', 'performance', 'philosophy', 'poetry']"
"50",2299265,199,198,48,2006,12,"neutral",4,"popular","TED","Other","['culture', 'disease', 'food', 'global issues', 'health', 'health care', 'obesity', 'science']"
"51",673036,85,843,22,2007,1,"neutral",3,"popular","TEDGlobal","Other","['business', 'cities', 'culture', 'entrepreneur', 'future', 'global development', 'global issues', 'policy', 'poverty', 'social change']"
"52",1391142,499,1001,32,2007,1,"neutral",1,"not_popular","TED","Other","['AIDS', 'Africa', 'business', 'choice', 'climate change', 'culture', 'disaster relief', 'economics', 'environment', 'future']"
"53",2532851,371,1321,36,2007,1,"positive",3,"popular","TED","Other","['anthropology', 'culture', 'environment', 'film', 'global issues', 'language', 'photography']"
"54",882034,59,1115,29,2007,1,"positive",1,"not_popular","TED","Other","['activism', 'art', 'culture', 'design', 'film', 'global issues', 'photography', 'social change', 'storytelling']"
"55",2121177,203,1046,29,2007,1,"positive",3,"popular","TEDGlobal","Other","['astronomy', 'climate change', 'complexity', 'cosmos', 'science', 'social change', 'technology', 'time', 'universe']"
"56",1090180,130,1151,23,2007,1,"neutral",3,"popular","TED","Other","['collaboration', 'culture', 'evolutionary psychology', 'global issues', 'war']"
"57",684519,47,603,29,2007,1,"neutral",4,"popular","Other","Other","['cities', 'culture', 'design', 'disease', 'health', 'history', 'map', 'science', 'urban planning']"
"58",1409327,91,1141,24,2007,1,"neutral",3,"popular","TEDGlobal","Other","['business', 'collaboration', 'culture', 'economics', 'innovation', 'invention', 'media', 'open-source', 'product design']"
"59",3051507,222,825,25,2007,2,"positive",1,"not_popular","TED","Other","['dance', 'entertainment', 'nature', 'performance', 'science', 'science and art']"
"60",978825,111,1385,19,2007,2,"positive",1,"not_popular","TED","Other","['MacArthur grant', 'United States', 'culture', 'entertainment', 'history', 'interview', 'performance', 'performance art', 'race', 'sports', 'storytelling', 'theater']"
"61",442553,28,869,18,2007,2,"neutral",3,"popular","TED","Other","['MacArthur grant', 'collaboration', 'design', 'innovation', 'invention', 'materials', 'open-source', 'product design', 'technology']"
"62",691814,64,1038,17,2007,2,"positive",3,"popular","TED","Other","['code', 'computers', 'culture', 'education', 'engineering', 'invention', 'materials', 'science', 'social change', 'technology']"
"63",2441805,226,1155,30,2007,2,"positive",1,"not_popular","TEDGlobal","Other","['choice', 'culture', 'happiness', 'health', 'parenting', 'personal growth', 'potential', 'psychology', 'work-life balance']"
"64",849859,97,1447,26,2007,4,"neutral",1,"not_popular","TED","Other","['Africa', 'TED Prize', 'business', 'culture', 'economics', 'global issues', 'health care', 'technology']"
"65",1335732,89,1355,26,2007,4,"positive",3,"popular","TED","Other","['TED Prize', 'ants', 'biodiversity', 'biology', 'ecology', 'global issues', 'insects', 'nature', 'science', 'technology']"
"66",1262674,107,1316,23,2007,4,"positive",3,"popular","TED","Other","['activism', 'art', 'culture', 'global issues', 'media', 'photography', 'poverty', 'social change', 'storytelling', 'war']"
"67",1663001,161,1645,31,2007,4,"positive",3,"popular","TED","Other","['Africa', 'animals', 'culture', 'environment', 'global issues', 'nature', 'primates', 'science']"
"68",5570544,220,1021,31,2007,4,"positive",4,"popular","TED","Other","['TED Brain Trust', 'business', 'choice', 'culture', 'marketing', 'storytelling']"
"69",1520908,114,1211,28,2007,4,"positive",1,"not_popular","TED","Other","['DNA', 'culture', 'genetics', 'history', 'invention', 'science', 'storytelling', 'technology']"
"70",2138907,88,873,31,2007,4,"positive",1,"not_popular","TED","Other","['brain', 'cognitive science', 'culture', 'design', 'illusion', 'psychology']"
"71",680134,130,1207,18,2007,4,"neutral",4,"popular","TED","Other","['business', 'cars', 'industrial design', 'innovation', 'invention', 'robots', 'science', 'social change', 'sustainability', 'technology', 'transportation']"
"72",690928,49,1340,20,2007,4,"positive",6,"very_popular","TED","Other","['DNA', 'TED Brain Trust', 'biotech', 'business', 'culture', 'genetics', 'invention', 'science', 'technology']"
"73",1762302,86,930,26,2007,4,"positive",5,"very_popular","TED","Other","['TED Brain Trust', 'art', 'design', 'happiness', 'typography']"
"74",1392010,107,1054,32,2007,4,"positive",3,"popular","TEDGlobal","Other","['alternative energy', 'business', 'cities', 'collaboration', 'culture', 'design', 'environment', 'global issues', 'invention', 'sustainability']"
"75",660909,50,1240,16,2007,4,"negative",1,"not_popular","TED","Other","['architecture', 'cities', 'culture', 'design', 'invention']"
"76",867495,78,1204,23,2007,4,"positive",1,"not_popular","TED","Other","['art', 'business', 'cars', 'design', 'industrial design', 'invention', 'technology', 'transportation']"
"77",395769,40,276,28,2007,4,"positive",1,"not_popular","Other","Other","['entertainment', 'live music', 'music', 'performance', 'poetry', 'singer']"
"78",761930,27,850,24,2007,4,"neutral",1,"not_popular","TEDGlobal","Other","['business', 'design', 'industrial design', 'product design']"
"79",1149090,84,891,23,2007,4,"positive",1,"not_popular","TED","Other","['Brazil', 'animation', 'art', 'creativity', 'design', 'illusion']"
"80",762264,131,1012,24,2007,4,"negative",3,"popular","TEDGlobal","Other","['biotech', 'culture', 'future', 'global issues', 'happiness', 'philosophy', 'technology']"
"81",1920434,127,1399,24,2007,4,"positive",3,"popular","TED","Other","['DNA', 'animals', 'biology', 'biomimicry', 'design', 'environment', 'evolution', 'fish', 'science', 'technology']"
"82",560904,34,1011,21,2007,4,"positive",4,"popular","TEDGlobal","Other","['DNA', 'biodiversity', 'biology', 'biotech', 'ecology', 'entrepreneur', 'genetics', 'invention', 'oceans', 'science', 'technology']"
"83",606311,47,893,20,2007,4,"negative",3,"popular","TED","Other","['art', 'entertainment', 'invention', 'music', 'performance', 'software', 'technology']"
"84",2197377,335,1045,28,2007,4,"positive",1,"not_popular","TED","Other","['animals', 'apes', 'biology', 'culture', 'evolution', 'genetics', 'intelligence', 'language']"
"85",1697185,143,977,30,2007,4,"positive",3,"popular","TED","Other","['animals', 'art', 'design', 'evolution', 'fish', 'nature', 'photography', 'storytelling']"
"86",1115081,57,985,18,2007,4,"positive",1,"not_popular","TED","Other","['biology', 'biomechanics', 'oceans', 'online video', 'science', 'technology']"
"87",591379,39,163,38,2007,4,"positive",3,"popular","TED","Other","['climate change', 'environment', 'guitar', 'music', 'performance', 'vocals']"
"88",398713,34,459,25,2007,4,"positive",1,"not_popular","TED","Other","['cello', 'entertainment', 'music', 'performance', 'vocals']"
"89",2676717,501,1308,31,2007,4,"neutral",5,"very_popular","TED","Other","['TED Brain Trust', 'brain', 'consciousness', 'culture', 'entertainment', 'illusion', 'self', 'visualizations']"
"90",4165572,296,1929,32,2007,4,"positive",1,"not_popular","TED","Other","['creativity', 'entertainment', 'live music', 'music', 'performance']"
"91",1426390,231,1205,25,2007,4,"neutral",1,"not_popular","TED","Other","['architecture', 'business', 'china', 'cities', 'culture', 'design', 'environment', 'global issues', 'sustainability', 'technology']"
"92",754700,58,1031,22,2007,4,"neutral",3,"popular","TED","Other","['TED Brain Trust', 'United States', 'business', 'entrepreneur', 'history', 'innovation', 'invention', 'technology', 'web']"
"93",643078,58,251,25,2007,4,"positive",7,"very_popular","TED","Other","['entertainment', 'memory', 'performance', 'poetry', 'spoken word', 'storytelling']"
"94",513672,75,378,28,2007,4,"positive",3,"popular","TED","Other","['composing', 'entertainment', 'guitar', 'memory', 'music', 'performance', 'piano']"
"95",428351,50,312,25,2007,4,"positive",3,"popular","TED","Other","['composing', 'entertainment', 'guitar', 'music', 'performance', 'performance art', 'piano', 'potential', 'vocals']"
"96",616385,588,1172,22,2007,4,"neutral",1,"not_popular","TED","Other","['God', 'culture', 'disaster relief', 'global issues', 'natural disaster', 'philosophy', 'religion']"
"97",4374792,6404,1750,42,2007,4,"neutral",4,"popular","TED","Other","['God', 'atheism', 'culture', 'religion', 'science']"
"98",609087,49,1195,16,2007,4,"positive",1,"not_popular","TED","Other","['comedy', 'culture', 'humor', 'performance']"
"99",443180,39,201,33,2007,4,"positive",3,"popular","TED","Other","['entertainment', 'live music', 'music', 'performance']"
"100",904520,42,858,23,2007,4,"neutral",5,"very_popular","TED","Other","['business', 'culture', 'economics', 'entertainment', 'marketing', 'technology']"
"101",717002,67,311,30,2007,5,"positive",3,"popular","TED","Other","['entertainment', 'history', 'live music', 'music', 'performance', 'violin']"
"102",1451846,56,1233,31,2007,5,"neutral",1,"not_popular","TED","Other","['Google', 'TED Brain Trust', 'business', 'collaboration', 'culture', 'design', 'technology', 'web']"
"103",577502,72,277,22,2007,5,"positive",2,"popular","TED","Other","['culture', 'entertainment', 'live music', 'music', 'performance', 'poetry', 'race', 'sports']"
"104",1683456,328,1184,21,2007,5,"neutral",1,"not_popular","TED","Other","['alternative energy', 'architecture', 'cars', 'cities', 'consumerism', 'culture', 'design', 'energy', 'transportation']"
"105",779873,32,1020,19,2007,5,"positive",3,"popular","TED","Other","['collaboration', 'creativity', 'culture', 'design', 'museums', 'philanthropy', 'science and art', 'water']"
"106",940913,99,185,44,2007,5,"negative",6,"very_popular","TED","Other","['TED Brain Trust', 'business', 'cities', 'culture', 'future', 'global issues', 'poverty', 'technology', 'urban planning']"
"107",1371482,230,1211,29,2007,5,"positive",1,"not_popular","TED","Other","['AI', 'brain', 'cognitive science', 'computers', 'intelligence', 'memory', 'science', 'technology']"
"108",870412,87,1001,22,2007,5,"positive",3,"popular","TED","Other","['animals', 'biodiversity', 'climate change', 'environment', 'fish', 'global issues', 'oceans', 'science', 'technology']"
"109",4772595,260,450,34,2007,5,"positive",3,"popular","TED","Other","['collaboration', 'demo', 'microsoft', 'photography', 'software', 'technology', 'virtual reality', 'visualizations']"
"110",805111,295,1072,20,2007,5,"neutral",1,"not_popular","TED","Other","['climate change', 'environment', 'global issues', 'green', 'investment', 'sustainability', 'technology']"
"111",1044185,127,1213,32,2007,5,"neutral",3,"popular","TED","Other","['business', 'corruption', 'global issues', 'investment', 'women', 'women in business']"
"112",1479503,124,279,31,2007,6,"positive",1,"not_popular","TED","Other","['demo', 'interface design', 'software', 'technology']"
"113",1493606,220,726,31,2007,6,"positive",3,"popular","Other","Other","['Buddhism', 'God', 'culture', 'global issues', 'happiness', 'peace', 'religion']"
"114",404402,14,1477,18,2007,6,"negative",1,"not_popular","TED","Other","['New York', 'architecture', 'cities', 'collaboration', 'culture', 'death', 'design', 'disaster relief', 'interview', 'memory', 'urban planning']"
"115",1136037,305,1402,19,2007,6,"neutral",1,"not_popular","TED","Other","['culture', 'global issues', 'military', 'peace', 'technology', 'terrorism', 'war']"
"116",384641,27,214,40,2007,6,"positive",3,"popular","TED","Other","['cello', 'collaboration', 'culture', 'entertainment', 'live music', 'performance', 'violin']"
"117",308879,22,370,25,2007,6,"positive",1,"not_popular","TED","Other","['design', 'map', 'microsoft', 'technology', 'virtual reality']"
"118",3243784,261,1137,35,2007,6,"positive",8,"very_popular","TED","Other","['Africa', 'Asia', 'Google', 'economics', 'global development', 'global issues', 'health', 'inequality', 'poverty', 'statistics', 'visualizations']"
"119",1801117,240,1063,24,2007,6,"positive",1,"not_popular","TED","Other","['Moon', 'NASA', 'Planets', 'adventure', 'energy', 'exploration', 'mining', 'space', 'technology']"
"120",1596067,392,926,32,2007,7,"neutral",5,"very_popular","TED","Other","['TED Brain Trust', 'culture', 'faith', 'meme', 'philosophy', 'religion']"
"121",1427723,150,1165,33,2007,7,"positive",1,"not_popular","TED","Other","['Bioethics', 'cancer', 'design', 'health', 'health care', 'medicine', 'technology']"
"122",1049727,145,1030,23,2007,7,"positive",3,"popular","TED","Other","['design', 'entertainment', 'global issues', 'software', 'technology']"
"123",854967,136,934,22,2007,7,"neutral",1,"not_popular","TED","Other","['AIDS', 'Africa', 'economics', 'global issues', 'health', 'science', 'statistics']"
"124",1107307,126,997,19,2007,7,"positive",1,"not_popular","TED","Other","['demo', 'design', 'entertainment', 'gaming', 'technology']"
"125",3387765,276,552,34,2007,7,"positive",7,"very_popular","TED","Other","['entertainment', 'poetry', 'spoken word']"
"126",1788182,231,585,27,2007,7,"positive",1,"not_popular","TED","Other","['animation', 'design', 'entertainment', 'film', 'health', 'medicine', 'science', 'technology', 'visualizations']"
"127",558993,80,288,39,2007,7,"positive",1,"not_popular","TED","Other","['culture', 'health care', 'marketing', 'medicine']"
"128",648234,97,1070,20,2007,7,"neutral",1,"not_popular","TEDGlobal","Other","['Africa', 'business', 'corruption', 'economics', 'entrepreneur', 'global development', 'global issues', 'philanthropy']"
"129",524049,108,1330,21,2007,7,"neutral",3,"popular","TEDGlobal","Other","['Africa', 'business', 'economics', 'entrepreneur', 'global development', 'global issues', 'health care', 'investment', 'philanthropy', 'women', 'women in business']"
"130",1543596,174,252,44,2007,7,"positive",3,"popular","TEDGlobal","Other","['Africa', 'alternative energy', 'design', 'energy', 'global issues', 'interview', 'library', 'technology']"
"131",335086,31,1141,21,2007,7,"neutral",1,"not_popular","TEDGlobal","Other","['Africa', 'business', 'entrepreneur', 'global issues', 'investment']"
"132",1216429,150,1051,27,2007,8,"positive",1,"not_popular","TEDGlobal","Other","['Africa', 'culture', 'education', 'global issues', 'leadership', 'social change']"
"133",561703,77,1056,21,2007,8,"positive",3,"popular","TEDGlobal","Other","['Africa', 'culture', 'entertainment', 'global issues', 'literature', 'poetry', 'storytelling']"
"134",836269,106,1103,26,2007,8,"positive",6,"very_popular","TEDGlobal","Other","['business', 'global development', 'global issues', 'investment', 'medicine', 'philanthropy', 'poverty', 'women', 'women in business']"
"135",531957,60,606,21,2007,8,"positive",3,"popular","TEDGlobal","Other","['Africa', 'activism', 'entertainment', 'live music', 'music', 'singer', 'women']"
"136",416603,36,299,41,2007,8,"positive",3,"popular","TEDGlobal","Other","['Africa', 'entertainment', 'guitar', 'live music', 'music']"
"137",727247,49,931,23,2007,8,"positive",1,"not_popular","TED","Other","['business', 'entertainment', 'film', 'global issues', 'movies', 'philanthropy', 'social change']"
"138",1575699,102,310,32,2007,8,"positive",4,"popular","TED","Other","['culture', 'demo', 'global issues', 'health care', 'invention', 'peace', 'prosthetics', 'science', 'technology', 'war']"
"139",1013063,151,950,32,2007,8,"positive",3,"popular","TED","Other","['books', 'culture', 'education', 'entertainment', 'language']"
"140",722877,126,1027,30,2007,9,"neutral",1,"not_popular","TEDGlobal","Other","['Africa', 'business', 'global development', 'global issues', 'investment', 'philanthropy', 'technology']"
"141",3982352,304,493,32,2007,9,"positive",1,"not_popular","TED","Other","['animals', 'art', 'biomechanics', 'creativity', 'demo', 'design', 'entertainment', 'science and art', 'technology']"
"142",1914263,124,1047,32,2007,9,"neutral",5,"very_popular","TEDGlobal","Other","['TED Brain Trust', 'culture', 'language', 'psychology', 'science']"
"143",2063367,677,1155,32,2007,9,"neutral",5,"very_popular","TED","Other","['TED Brain Trust', 'business', 'culture', 'global issues', 'media', 'sociology', 'violence', 'war']"
"144",507997,164,1056,19,2007,9,"neutral",1,"not_popular","TED","Other","['entertainment', 'film', 'global issues', 'storytelling', 'technology', 'war']"
"145",913666,65,951,26,2007,9,"positive",1,"not_popular","TEDGlobal","Other","['Africa', 'anthropology', 'exploration', 'global issues', 'human origins', 'humanity', 'paleontology', 'science']"
"146",1215947,83,959,24,2007,9,"positive",4,"popular","TED","Other","['art', 'design', 'simplicity', 'technology']"
"147",1712075,169,1782,22,2007,9,"positive",1,"not_popular","TED","Other","['asteroid', 'climate change', 'future', 'global issues', 'humanity', 'science', 'solar system', 'space', 'technology']"
"148",736290,29,1280,20,2007,9,"positive",3,"popular","TED","Other","['alternative energy', 'business', 'design', 'drones', 'energy', 'flight', 'invention', 'solar energy', 'technology']"
"149",2627709,225,1029,33,2007,10,"positive",3,"popular","TED","Other","['NASA', 'Planets', 'design', 'exploration', 'science', 'solar system', 'space', 'technology', 'universe', 'visualizations']"
"150",1720579,101,212,43,2007,10,"positive",1,"not_popular","TED","Other","['culture', 'dance', 'entertainment', 'performance']"
"151",1609555,80,1791,29,2007,10,"positive",1,"not_popular","TED","Other","['aircraft', 'business', 'entertainment', 'entrepreneur', 'global issues', 'interview', 'music', 'space', 'technology']"
"152",1212346,242,378,28,2007,10,"positive",1,"not_popular","TED","Other","['AI', 'cognitive science', 'demo', 'design', 'evolution', 'robots', 'technology']"
"153",672254,45,1050,21,2007,10,"positive",1,"not_popular","TED","Other","['art', 'children', 'culture', 'design', 'entertainment', 'happiness']"
"154",694378,145,963,22,2007,10,"neutral",1,"not_popular","TED","Other","['cities', 'communication', 'culture', 'design', 'global issues', 'technology', 'telecom']"
"155",3930186,432,1414,35,2007,10,"positive",1,"not_popular","TED","Other","['brain', 'consciousness', 'culture', 'illness', 'illusion', 'science', 'technology']"
"156",562457,64,1234,21,2007,10,"neutral",1,"not_popular","TEDGlobal","Other","['business', 'economics', 'food', 'global issues', 'technology', 'women in business']"
"157",1522858,262,1338,26,2007,10,"positive",3,"popular","TED","Other","['brain', 'depression', 'health care', 'illness', 'medicine', 'mental health', 'science', 'suicide', 'technology']"
"158",7271730,412,1254,39,2007,11,"positive",3,"popular","TED","Other","['Buddhism', 'God', 'brain', 'culture', 'evolutionary psychology', 'faith', 'global issues', 'happiness', 'peace', 'photography', 'psychology', 'religion']"
"159",1895259,328,1136,26,2007,11,"neutral",5,"very_popular","TED","Other","['business', 'creativity', 'entertainment', 'law', 'technology']"
"160",410563,40,299,28,2007,11,"positive",3,"popular","TED","Other","['DNA', 'MacArthur grant', 'complexity', 'computers', 'science']"
"161",876658,279,958,24,2007,11,"neutral",1,"not_popular","Other","Other","['business', 'china', 'climate change', 'engineering', 'global issues', 'science', 'technology']"
"162",898974,115,1090,21,2007,11,"neutral",6,"very_popular","Other","Other","['TED Brain Trust', 'biodiversity', 'biotech', 'business', 'energy', 'science', 'technology']"
"163",418234,46,1261,22,2007,11,"neutral",3,"popular","Other","Other","['climate change', 'culture', 'global issues', 'health', 'peace']"
"164",707524,31,1164,20,2007,11,"positive",5,"very_popular","TED","Other","['design', 'evolution', 'robots', 'science', 'technology']"
"165",1527858,185,1017,22,2007,11,"positive",1,"not_popular","TEDGlobal","Other","['Africa', 'architecture', 'culture', 'design', 'math', 'technology']"
"166",1783740,156,1026,29,2007,12,"positive",1,"not_popular","TED","Other","['design', 'humanity', 'humor', 'philosophy', 'storytelling']"
"167",1181696,160,962,29,2007,12,"positive",3,"popular","TED","Other","['String theory', 'physics', 'science', 'storytelling', 'technology']"
"168",832668,154,1184,22,2007,12,"neutral",3,"popular","TED","Other","['MacArthur grant', 'business', 'economics', 'energy', 'environment', 'green', 'science', 'technology']"
"169",8360707,604,914,44,2007,12,"positive",4,"popular","TED","Other","['education', 'entertainment', 'magic', 'math', 'performance']"
"170",1604402,183,793,34,2007,12,"positive",1,"not_popular","TED","Other","['brain', 'community', 'compassion', 'empathy', 'psychology']"
"171",533761,71,249,40,2007,12,"positive",1,"not_popular","TED","Other","['communication', 'community', 'parenting', 'relationships', 'writing']"
"172",4364865,435,558,40,2007,12,"neutral",3,"popular","TED","Other","['children', 'design', 'entertainment', 'parenting', 'play', 'sports', 'technology']"
"173",3741423,465,1080,38,2008,1,"positive",3,"popular","TED","Other","['South America', 'entertainment', 'global issues', 'love', 'parenting', 'storytelling', 'women', 'world cultures']"
"174",933311,71,375,28,2008,1,"positive",1,"not_popular","TED","Other","['comedy', 'humor']"
"175",928270,95,1231,21,2008,1,"neutral",3,"popular","TED","Other","['ants', 'biology', 'collaboration', 'design', 'insects', 'science']"
"176",3519656,227,1082,30,2008,1,"positive",1,"not_popular","TED","Other","['entertainment', 'film', 'humor', 'movies', 'storytelling', 'technology']"
